name,rating,genre,year,released date,released year,score,votes,director,writer,star,country,budget,gross,company,runtime
Raging Bull,R,Biography,1980,19-Dec, 1980 (United States),8.2,330000,Martin Scorsese,Jake LaMotta,Robert De Niro,United States,18000000,23402427,Chartoff-Winkler Productions,129
Ordinary People,R,Drama,1980,19-Sep, 1980 (United States),7.7,49000,Robert Redford,Judith Guest,Donald Sutherland,United States,6000000,54766923,Paramount Pictures,124
Dressed to Kill,R,Crime,1980,25-Jul, 1980 (United States),7.1,37000,Brian De Palma,Brian De Palma,Michael Caine,United States,6500000,31899000,Filmways Pictures,104
American Gigolo,R,Crime,1980,1-Feb, 1980 (United States),6.2,22000,Paul Schrader,Paul Schrader,Richard Gere,United States,4800000,22743674,Paramount Pictures,117
Bronco Billy,PG,Action,1980,11-Jun, 1980 (United States),6.1,11000,Clint Eastwood,Dennis Hackin,Clint Eastwood,United States,6500000,24265659,Warner Bros.,116
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,12-Jun, 1981 (United States),8.4,905000,Steven Spielberg,Lawrence Kasdan,Harrison Ford,United States,18000000,389925971,Paramount Pictures,115
Body Heat,R,Crime,1981,28-Aug, 1981 (United States),7.4,32000,Lawrence Kasdan,Lawrence Kasdan,William Hurt,United States,1,24058838,The Ladd Company,113
The Evil Dead,NC-17,Horror,1981,15-Apr, 1983 (United States),7.5,192000,Sam Raimi,Sam Raimi,Bruce Campbell,United States,350000,2956630,Renaissance Pictures,85
Blow Out,R,Crime,1981,24-Jul, 1981 (United States),7.4,47000,Brian De Palma,Brian De Palma,John Travolta,United States,18000000,12000000,Filmways Pictures,108
Absence of Malice,PG,Drama,1981,18-Dec, 1981 (United States),6.9,12000,Sydney Pollack,Kurt Luedtke,Paul Newman,United States,12000000,40716963,Columbia Pictures,116
The Funhouse,R,Horror,1981,13-Mar, 1981 (United States),5.9,13000,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,United States,1,7886857,Universal Pictures,96
The Incredible Shrinking Woman,PG,Comedy,1981,30-Jan, 1981 (United States),5.5,4500,Joel Schumacher,Richard Matheson,Lily Tomlin,United States,1,20259961,Lija Productions,88
E.T. the Extra-Terrestrial,PG,Family,1982,11-Jun, 1982 (United States),7.8,381000,Steven Spielberg,Melissa Mathison,Henry Thomas,United States,10500000,792910554,Universal Pictures,115
Poltergeist,PG,Horror,1982,4-Jun, 1982 (United States),7.3,148000,Tobe Hooper,Steven Spielberg,JoBeth Williams,United States,10700000,77142388,Metro-Goldwyn-Mayer (MGM),114
Tootsie,PG,Comedy,1982,17-Dec, 1982 (United States),7.4,100000,Sydney Pollack,Don McGuire,Dustin Hoffman,United States,21000000,177200000,Columbia Pictures,116
The King of Comedy,PG,Comedy,1982,18-Feb, 1983 (Brazil),7.8,94000,Martin Scorsese,Paul D. Zimmerman,Robert De Niro,United States,20000000,2536242,Embassy International Pictures,109
Rocky III,PG,Drama,1982,28-May, 1982 (United States),6.8,179000,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,United States,17000000,125052686,Chartoff-Winkler Productions,99
Cat People,R,Fantasy,1982,2-Apr, 1982 (United States),6.2,20000,Paul Schrader,DeWitt Bodeen,Nastassja Kinski,United States,18000000,7000000,RKO Pictures,118
Fanny and Alexander,R,Drama,1982,17-Dec, 1982 (Sweden),8.1,59000,Ingmar Bergman,Ingmar Bergman,Bertil Guve,Sweden,6000000,6795771,Cinematograph AB,188
Firefox,PG,Action,1982,18-Jun, 1982 (United States),6,26000,Clint Eastwood,Alex Lasker,Clint Eastwood,United States,18000000,46708276,Major Studio Partners,136
